Date,Open,High,Low,Close,Adj Close,Volume
1989-01-30,1498.300049,1498.300049,1498.300049,1498.300049,1498.300049,0
1989-01-31,null,null,null,null,null,null
1989-02-01,null,null,null,null,null,null
1989-02-02,null,null,null,null,null,null
1989-02-03,null,null,null,null,null,null
1989-02-06,null,null,null,null,null,null
1989-02-07,null,null,null,null,null,null
1989-02-08,null,null,null,null,null,null
1989-02-09,null,null,null,null,null,null
1989-02-10,null,null,null,null,null,null
1989-02-13,null,null,null,null,null,null
1989-02-14,null,null,null,null,null,null
1989-02-15,null,null,null,null,null,null
1989-02-16,null,null,null,null,null,null
1989-02-17,null,null,null,null,null,null
1989-02-20,null,null,null,null,null,null
1989-02-21,null,null,null,null,null,null
1989-02-22,null,null,null,null,null,null
1989-02-23,null,null,null,null,null,null
1989-02-24,null,null,null,null,null,null
1989-02-27,null,null,null,null,null,null
1989-02-28,null,null,null,null,null,null
1989-03-01,null,null,null,null,null,null
1989-03-02,null,null,null,null,null,null
1989-03-03,null,null,null,null,null,null
1989-03-06,null,null,null,null,null,null
1989-03-07,1511.599976,1511.599976,1511.599976,1511.599976,1511.599976,0
1989-03-08,null,null,null,null,null,null
1989-03-09,null,null,null,null,null,null
1989-03-10,null,null,null,null,null,null
1989-03-13,null,null,null,null,null,null
1989-03-14,null,null,null,null,null,null
1989-03-15,null,null,null,null,null,null
1989-03-16,null,null,null,null,null,null
1989-03-17,null,null,null,null,null,null
1989-03-20,null,null,null,null,null,null
1989-03-21,null,null,null,null,null,null
1989-03-22,null,null,null,null,null,null
1989-03-23,null,null,null,null,null,null
1989-03-24,null,null,null,null,null,null
1989-03-27,null,null,null,null,null,null
1989-03-28,null,null,null,null,null,null
1989-03-29,null,null,null,null,null,null
1989-03-30,null,null,null,null,null,null
1989-03-31,null,null,null,null,null,null
1989-04-03,null,null,null,null,null,null
1989-04-04,null,null,null,null,null,null
1989-04-05,null,null,null,null,null,null
1989-04-06,null,null,null,null,null,null
1989-04-07,null,null,null,null,null,null
1989-04-10,null,null,null,null,null,null
1989-04-11,1588.500000,1588.500000,1588.500000,1588.500000,1588.500000,0
1989-04-12,null,null,null,null,null,null
1989-04-13,null,null,null,null,null,null
1989-04-14,null,null,null,null,null,null
1989-04-17,null,null,null,null,null,null
1989-04-18,null,null,null,null,null,null
1989-04-19,null,null,null,null,null,null
1989-04-20,null,null,null,null,null,null
1989-04-21,null,null,null,null,null,null
1989-04-24,null,null,null,null,null,null
1989-04-25,null,null,null,null,null,null
1989-04-26,null,null,null,null,null,null
1989-04-27,null,null,null,null,null,null
1989-04-28,null,null,null,null,null,null
1989-05-01,null,null,null,null,null,null
1989-05-02,null,null,null,null,null,null
1989-05-03,null,null,null,null,null,null
1989-05-04,null,null,null,null,null,null
1989-05-05,null,null,null,null,null,null
1989-05-08,null,null,null,null,null,null
1989-05-09,1537.800049,1537.800049,1537.800049,1537.800049,1537.800049,0
1989-05-10,null,null,null,null,null,null
1989-05-11,null,null,null,null,null,null
1989-05-12,null,null,null,null,null,null
1989-05-15,null,null,null,null,null,null
1989-05-16,null,null,null,null,null,null
1989-05-17,null,null,null,null,null,null
1989-05-18,null,null,null,null,null,null
1989-05-19,null,null,null,null,null,null
1989-05-22,null,null,null,null,null,null
1989-05-23,null,null,null,null,null,null
1989-05-24,null,null,null,null,null,null
1989-05-25,null,null,null,null,null,null
1989-05-26,null,null,null,null,null,null
1989-05-29,null,null,null,null,null,null
1989-05-30,null,null,null,null,null,null
1989-05-31,null,null,null,null,null,null
1989-06-01,null,null,null,null,null,null
1989-06-02,null,null,null,null,null,null
1989-06-05,null,null,null,null,null,null
1989-06-06,null,null,null,null,null,null
1989-06-07,null,null,null,null,null,null
1989-06-08,null,null,null,null,null,null
1989-06-09,null,null,null,null,null,null
1989-06-12,null,null,null,null,null,null
1989-06-13,null,null,null,null,null,null
1989-06-14,null,null,null,null,null,null
1989-06-15,null,null,null,null,null,null
1989-06-16,null,null,null,null,null,null
1989-06-19,null,null,null,null,null,null
1989-06-20,null,null,null,null,null,null
1989-06-21,null,null,null,null,null,null
1989-06-22,1657.800049,1657.800049,1657.800049,1657.800049,1657.800049,0
1989-06-23,null,null,null,null,null,null
1989-06-26,null,null,null,null,null,null
1989-06-27,null,null,null,null,null,null
1989-06-28,null,null,null,null,null,null
1989-06-29,null,null,null,null,null,null
1989-06-30,null,null,null,null,null,null
1989-07-03,null,null,null,null,null,null
1989-07-04,null,null,null,null,null,null
1989-07-05,null,null,null,null,null,null
1989-07-06,1675.199951,1675.199951,1675.199951,1675.199951,1675.199951,0
1989-07-07,null,null,null,null,null,null
1989-07-10,null,null,null,null,null,null
1989-07-11,null,null,null,null,null,null
1989-07-12,null,null,null,null,null,null
1989-07-13,null,null,null,null,null,null
1989-07-14,null,null,null,null,null,null
1989-07-17,null,null,null,null,null,null
1989-07-18,null,null,null,null,null,null
1989-07-19,null,null,null,null,null,null
1989-07-20,null,null,null,null,null,null
1989-07-21,null,null,null,null,null,null
1989-07-24,null,null,null,null,null,null
1989-07-25,null,null,null,null,null,null
1989-07-26,null,null,null,null,null,null
1989-07-27,null,null,null,null,null,null
1989-07-28,null,null,null,null,null,null
1989-07-31,null,null,null,null,null,null
1989-08-01,null,null,null,null,null,null
1989-08-02,null,null,null,null,null,null
1989-08-03,null,null,null,null,null,null
1989-08-04,null,null,null,null,null,null
1989-08-07,null,null,null,null,null,null
1989-08-08,null,null,null,null,null,null
1989-08-09,null,null,null,null,null,null
1989-08-10,null,null,null,null,null,null
1989-08-11,null,null,null,null,null,null
1989-08-14,null,null,null,null,null,null
1989-08-15,null,null,null,null,null,null
1989-08-16,null,null,null,null,null,null
1989-08-17,null,null,null,null,null,null
1989-08-18,null,null,null,null,null,null
1989-08-21,null,null,null,null,null,null
1989-08-22,null,null,null,null,null,null
1989-08-23,null,null,null,null,null,null
1989-08-24,null,null,null,null,null,null
1989-08-25,null,null,null,null,null,null
1989-08-28,null,null,null,null,null,null
1989-08-29,null,null,null,null,null,null
1989-08-30,null,null,null,null,null,null
1989-08-31,null,null,null,null,null,null
1989-09-01,null,null,null,null,null,null
1989-09-04,null,null,null,null,null,null
1989-09-05,null,null,null,null,null,null
1989-09-06,null,null,null,null,null,null
1989-09-07,1892.300049,1892.300049,1892.300049,1892.300049,1892.300049,0
1989-09-08,null,null,null,null,null,null
1989-09-11,null,null,null,null,null,null
1989-09-12,null,null,null,null,null,null
1989-09-13,null,null,null,null,null,null
1989-09-14,null,null,null,null,null,null
1989-09-15,null,null,null,null,null,null
1989-09-18,null,null,null,null,null,null
1989-09-19,null,null,null,null,null,null
1989-09-20,null,null,null,null,null,null
1989-09-21,null,null,null,null,null,null
1989-09-22,null,null,null,null,null,null
1989-09-25,null,null,null,null,null,null
1989-09-26,null,null,null,null,null,null
1989-09-27,null,null,null,null,null,null
1989-09-28,null,null,null,null,null,null
1989-09-29,null,null,null,null,null,null
1989-10-02,1774.900024,1774.900024,1774.900024,1774.900024,1774.900024,0
1989-10-03,null,null,null,null,null,null
1989-10-04,null,null,null,null,null,null
1989-10-05,null,null,null,null,null,null
1989-10-06,null,null,null,null,null,null
1989-10-09,null,null,null,null,null,null
1989-10-10,null,null,null,null,null,null
1989-10-11,null,null,null,null,null,null
1989-10-12,null,null,null,null,null,null
1989-10-13,null,null,null,null,null,null
1989-10-16,null,null,null,null,null,null
1989-10-17,null,null,null,null,null,null
